aagę	she did say
dasgaowęˀ	Tuscarora people; Tuscarora, New York (near Lewiston) (literally: place of split stone)
dasge:gai:	you bite me! (take a bite)
dasgehsweˀna:ge:t	scratch my back!
dasgi:dę:	pity me
dasgǫh	give it to me
dasha:	bring it here
dashagonǫhtwahs	he forced her
daskrǫhwaˀs	you wait for me
dasǫˀne:k	you subtract!
dasra:tęh	climb (over here)!
dasrihwaˀek	you insisted
datsę:na:	you (singular) grab it!
dawadajihsdęht	there was a mud slide
dawadˀasęht	it swooped down
dawadokdahs	it lacks; it is not enough
dawadokdęˀ	it lacked; it was not enough
dawadoˀne:k	it moved away
dawa:dra:goˀ	it chose
dawadrihwagyaǫ:ˀ	there was an accident over there
dawa:gyę:t	the first one or beginner
dawaˀsęˀ	it dropped, reduced
dawatehtgęht	it went bad
dawa:tgri:k	it pulled back, flinched, shrank
dawathnegęˀgwaht	tidal wave
dawędaętaˀ	morning star
dawę:do:dęˀ	dawn, daybreak
dawęhnihsraędǫ:gyeˀ	the coming days
dawęhsga:ˀ	it took off from over there
dawę:nǫhk	sudden; all of a sudden
da:yagwaˀęnaę:ˀ	we all (exclusive) would play snowsnake
dęˀ	what; why
dęˀ hne:ˀ	what? why?; what is that? why me? (or any similar expression of exasperation)
deˀ hoˀ dęˀ	what
dęˀ niyohsohgoˀdę:	what colour is it
deˀagadǫtga:deˀ	I am not happy
deˀagęnǫhdǫˀ	I do not know
deagǫnhe:gyeˀ	she was stillborn; she came to be not living
deˀagyade:kǫ:nih	we two (exclusive) do not eat
deˀaǫwe:saht	it is unpleasant
dedesadoda:hdanih	it trips you all the time
dędihsˀadre:ˀ	you will drive over here
dędihswajihgwagwaheˀ	you will come and get the mush (tells the masks when they are to come back for their mush)
dedisaˀnigǫhi:yo:	you are grumpy, grouchy, not happy
dędwadadrihwanǫhkwa:k	we all (inclusive) will show respect for one another
dedwadagyenawahs	let us all (inclusive) help each other
dędwadatnǫhǫnyǫ:ˀ	we all (inclusive) will greet each other
dędwadatro:wiˀ	we all (inclusive) will tell one another
dedwadehsa:s	we are looking for mates
dędwadęnǫhǫnyǫ:ˀ	we all (inclusive) will give thanks
dedwahsawe:haˀ	to restart
dędwahsda:teˀt	we all (inclusive) will shine it
dędwahta:goˀ	we all (inclusive) will discuss
dędwanahaǫgwętraęˀ	Seed Ceremony
dedwanętsa:kˀah	we all (inclusive), our arms are short
dedwanętse:s	let's make our (inclusive) arms long
dedwanętsu:ˀuh	we all (inclusive) have small arms
dedwanǫhǫhkwaˀ	we all (inclusive) refer to it as
dędwanǫhǫ:nyǫ:ˀ	we all (inclusive) will thank something
dędwatahahk	we all (inclusive) will walk
dedwatgawęh	to replace (literally: it has been re-given)
dedwa:ye:na:	let's work together, help each other
dedwayenawaˀkǫˀ	we all (inclusive) are working united for one cause
dedwayenawˀakǫ:	let's work together)
degaˀahdra:ge:	two baskets
degadahstaˀ	glottal stop
degadęhnǫ:de:ˀ	my sibling
degadęhnǫ:drǫˀ	my siblings
dega:dęhs	airplane; it flies, goes up in the air
dega:de:s ahdahgwaˀ	high-heel shoes
degadidahstaˀ	stable, barn, bus stop
degadidęhsdahkwaˀ	stable
dęgadihsda:teˀt	they (animal) will shine it
degadihsinu:sˀuh	they (animal) have two small legs
degadinętsa:kˀah	their (animal) arm is short
degadinę:tse:s	their (animal) arm is long
degadinętsu:ˀuh	they (animal) have small arms
degadiyahshe:	two of them; they (animal) are two)
degadiyenawaˀkǫˀ	they (animal) are accomplices
degadodaishǫhs	I am combing my hair
dęgadodai:siˀ	I am going to comb my hair
degadogwahtaˀ	I scatter something
degadoha:gǫh	it has been squeezed
degadrehda:ge:	two cars
degadrehdahkwaˀ	jack, tow truck, hoist
degaehsinu:sˀuh	they (female or mixed group) two small legs
dęgaehsta:teˀt	they (female or mixed group) will shine it
degae:jaǫ:	both of them (female or mixed group)
degae:kęh	twin girls, twin boy and girl
degaenętsa:kˀah	their (female or mixed group) arm is short
degaenę:tse:s	their (female or mixed group) arm is long
degaenętsu:ˀuh	they (female or mixed group) have small arms
dęgaˀe:s	I will pierce something
degae:wa:yǫ:t	angels
degaeyaˀdowehtaˀ	they (female or mixed group) are thinkers (seers)
degaeyahshe:	two women; they (female or mixed group) are two
degagahgwe:gǫh	it is blind
degagǫdǫdǫhgǫh	water root (medicine)
degagǫˀtra:ge:	two pounds
degagwatwęh	hem
dęgagwatwęhę:k	it will be hemmed
deˀgahaˀk	it was never setting there
degahehdahihdǫh	land that is disced or worked
degahehdawęnyeh	cultivator
degahęhjiˀdahǫh	Hallowe'en witch
degahehnoha:s	bailer
degahęnaˀtraˀse:ˀ	scissors
degahgǫnhniˀgǫh	the leader of equal standing
degahgwataˀ	it upholds or raises up things
dęgahiˀ	it will break (into small pieces)
degahihdǫh	to smash something into tiny pieces
degahihtaˀ	grinder or cutter
degahiˀs	it breaks, it is breakable
dęgahji:yo:ˀ	I will scratch
degahjiyohaˀ	I am scratching
degahji:yohs	I am scratching
degahnane:t	lining, insulated wall
degahnegahkwaˀ	water spout
degahnegayehsdǫh ǫhsǫhtaˀ	water colours, paint
degahnegǫgohdǫh	water (that is) being strained
degahneˀka:ˀ	a dam
degahnyǫhsradeˀ	iron beams; prison
degahnyohsra:dǫˀ gadinho:dǫh	caged animals
degahǫˀ	something is lying across a path, a door, etc.
degahǫh	marsh crane; (literally: it leans; referring to its legs); a bar; a barrier
degahǫhsra:ge:	two boxes
degahǫjihsdayehsdǫh	Black people of mixed blood
dęgahsdatęˀdǫh	it is shined, waxed, polished
dęgahsda:tęˀt	it (the polish) is going to shine it
degahsdęhędagyeˀ	escarpment
degahsdęhe:s	a high mountain
dęgahsęhtoˀ	I will cry
degahsęhtwahs	I am crying
degahsęnaˀse:ˀ	a surname
degahsi:nǫ:t	kettle (literally: it has legs attached)
degahsiǫˀtrage:	a quarter; 25 cents 
degahsnaˀdowanęˀs	meadow lark
degahsnyeˀǫ:ˀ	it cleans up
degahsnyeˀǫ:ˀ hohsdihsdǫh	he is a maintenance director
degahsǫwahkda:kdǫ:	a hook; (literally: a crooked nail)
degahsowa:kęh	two wires
degahstę:doˀ	foundation
degahstęhodagyeˀ	mountain range, the Rockies
degahstǫdroha:s	bailer (for hay, straw)
degahswaˀne:t	pie
degahswaˀne:t ǫtnaˀdaǫ:dahkwaˀ	pie plate
degahwihsda:ge:	two dollars
degaiˀęho:t	it is piled up
dęgaihgwaˀdahnǫ:ˀ	they (female or mixed group) will raise or lift it 
degaiho:gęˀ	Between the News or Double Speech (Mohawk Chief Title)
degaiho:węhs	computer
degaihsdiˀdrahǫh	boundary
degaihsdodahǫh	chain
degaihsdo:ha:s	typewriter
degaihstoha:gǫh	newspaper
dęgaihwaędaˀ	they (literally:. it) will come to an agreement, a consensus
dęgaihwaędadreˀ	harmony; (literally: every idea will always come together)
degaihwaędaˀs	consensus
degaihwage:nhęh	there is an argument
dęgaihwagǫ:dǫ:ˀ	it will smother itself, die out slowly on its own, peter out (i.e. a language at a critical state)
degaihwakahǫˀ	alliance
degaihwateˀtaˀ	dictionary
degaiyahsǫtaˀ	Catholics; nuns; (literally: they (female or mixed group) cross themselves)
degajiˀda:ga:	a whiner, cryer
degajiˀehde:s	claw
degajihgwahihdǫh	mashed beans
degajihsdage:	two lamps
degajihsdoˀgwaǫt	knot
degajihsgwahihdǫh	it is smashed or mashed
degajǫˀda:ge:	two fish
degakahsǫ:	division; it is separated
dęgakenǫhǫkwa:k	I will recognize them as my kin
dęgakeyaˀdahk	I will pick them up
dega:kgyaˀs	parrot
degaksagę:drǫhs	it scrapes dishes
dęgakwahiht	it will digest
degakwahihtaˀ	food processor
degaˀnahgwa:ge:	double marriage
degaˀnahgwahshę:	twenty wives, twenty marriages
deganahsǫ:dǫˀ	many things are joined together (i.e. a train)
deganehsdadǫˀ	board fence
deganętsa:kˀah	its arm is short
deganętse:s	its arm is long; it has long arms
deganętsu:ˀuh	it has small arms
degaˀnhǫhsayehsdǫh 	cake pan
degaˀnhǫhsayehsdǫh ǫtnaˀdaǫ:dahkwaˀ	cake pan
degaˀnigǫhade:nyǫhs	alcoholic beverages (literally: mind-altering substance)
degaˀnigǫhdę:dǫhs	dinosaurs
deganiyǫ:daˀk	it was never hung up
dega:ni:yǫ:t	it is not hung up
degaˀnǫ:dǫ:t	alligator
degaˀnǫdǫtgeha:ˀ	Alligator Dance
deganohsǫ:taˀ	particle (literally: joiners)
deganǫhsǫ:taˀ	stapler 
deganoˀja:ga:	grinding or rattling teeth
deganǫnyaę:hęˀ	it does not freeze
deganreˀo:gęˀ	swallow (bird)
deganyahe:ˀ	collar
deganyoda:ge: ganyoˀdowa:nęh	two tablespoons
deganyǫhsradǫh	bars on a window
degaǫda:dǫˀ ganǫhso:t	log house
dęgaǫ:dagyaˀdahgwaˀt	they (female or mixed group) will do push ups
degaǫ:dagyaˀdahgwataˀ	they (female or mixed group) are doing push ups
dęgaǫ:dagyena:waˀs	they (female or mixed group) will help each other
degaǫdahǫh	beam
degaǫ:dohda:s	they (female or mixed group) are janitors
degaǫdohda:s	they (female or mixed group) tidy up; they are maids, housecleaners
degaǫdohda:s ohędǫ:	maintenance director
degaǫ:doˀjinehtaˀ	they (female or mixed group) figure-skate
degaǫ:draˀs	they (female or mixed group) meet all the time
degaǫ:gehgahne:ˀ	they are looking at me
degaǫhyagahne:ˀ	Great Blue Heron clan
degaǫhyakahne:ˀ	stream crane
degaǫ:naˀsgwahkwaˀ	they (female or mixed group) are jumping
dęgaǫtahahk	they (female or mixed group) will walk
degaǫ:węhda:s	they (female or mixed group) run
dęgaǫ:węhda:t	they (female or mixed group) will run
degaˀsgwa:dǫˀ	rocks piled in an arrangement
degaˀswe:gǫh	I am deaf
dęgaˀswe:k	I will be deaf
degaˀswe:s	I am getting deaf
dęga:t	I will dance
dęgatahahk	I will walk
dęgatgaha:de:niˀ	I am going to turn around (and go home)
dęgatnętsi:yaˀk	I will break my arm
dęgatnǫhsahsnyeˀ	I will clean up the house
degatnǫhsahsnyeh	I am cleaning up the house
degatnǫhsahsnyeˀs	I am always cleaning my house; I'm a housecleaner
dęgatsai:de:ˀ	I will freeload
degatsǫˀda:ge:	two fish
degawa:da:sehs	tornado
degawada:sehs dega:dęh	helicopter
degawadenyǫhs	season
degaˀwahahihdǫh	hamburger
degawęna:ge:	bilingualism
dęgawęnye:ˀ	I will stir
degawęnyeh	I stir all the time
degawidragędrǫ:	skimmed milk
degawidragędrǫhs	cream separator
degayˀadahkwaˀ	hen hawk
degayahsǫ:t	a cross
degayˀaksǫˀ	it is broken
degayaǫ:ˀ	it is beaded
degayˀase:ˀ	it is doubled up
dega:yęˀ	gambling, wagering
degayęgyaˀs	it cuts wood
degayehsdahnǫˀ	mixture; mixed together to make it good (i.e. herbs, spices, etc.)
dęgęˀdrǫ:daˀ	it will land
degęˀdrǫ:daˀs	it lands there all the time
degęgyogwanhahsdǫh	Circle of Life (a wampum representing the Confederacy)
degęhnakahǫˀ	quilt
dęgehsda:teˀt	I am going to shine it
degehsęnaę:di:	I do not know its name
degekahsǫhs	I divide it
dęgęnadahsǫdra:goˀ	they (animal) will be unjoined (i.e. a train, chain), they will come apart
degęnadraˀs	they (animal) meet (all the time)
degenaha:we:nyeˀ	I am crazy
degęnanaˀsgwahkwaˀ	they (animal) are jumpers
degęnaǫ:haˀ	they (animal) are racers
dęgęnatahahk	they (animal) will all walk
dęgęnę:datǫ:ˀ	they (animal) will run all over
degenętse:s	my arms are long
degenętsha:kˀah	my arms are short
degenętso:wa:neˀs	I have big arms
degęˀnigohogwahs	I am broken-hearted; (literally: my mind is scattered)
degętsǫˀda:ge:	two fish
dęgǫhęnaˀtraˀehs	I will stab you
degonohsgwihs	I am sweeping
dęgǫnǫhwe:tsoˀdęˀ	I am going to turn you upside down, upend you! (said in anger)
dęgǫyodai:siˀ	I am going to comb your hair
dęgrihwateˀt	I will explain an idea
degriyaˀgǫˀ	buffalo
degrǫˀ	eight
degrǫˀ naˀdewˀęnya:wˀe:	eight hundred
degrǫˀ niwahshę:	eighty
degrǫˀ niwahshę: ahsęh	eighty three
degrǫˀ niwahshę: degrǫˀ	eighty eight
degrǫˀ niwahshę: dekni:	eighty two
degrǫˀ niwahshę: gei:	eighty four
degrǫˀ niwahshę: gyohdǫ:	eighty nine
degrǫˀ niwahshę: hwihs	eighty five
degrǫˀ niwahshę: hyeiˀ	eighty six
degrǫˀ niwahshę: ja:dahk	eighty seven
degrǫˀ niwahshę: sga:t	eighty one
degrǫˀ sgaeˀ niwęˀnihsgaǫ:t	it has eighteen wheels
degrǫˀ skaeˀ	eighteen
degrǫˀskaeˀ niwęˀnihsgaǫ:t ganęhgwih	transport truck
degyahdihęh	we two are different
dęgya:kneˀ	we two (exclusive) will come back
dęgyatahahk	you and I will walk together
degyohsa:ˀ	it has resumed
degyoˀnehsahǫh	Burlington (literally: there the sand leans)
degyoˀnigǫhiyohsdę:ˀ	it is discontent
degyǫtgęnyaˀtaˀgeh	fairgrounds
degyotnǫhsa:kdǫ:	St. Catharines, Ontario (literally: a crooked house there)
dęhadagyaˀdahgwaˀt	he will do push ups
dehadihędiyaˀs	they (male) cut across fields
dehadihędiyaˀs dehęnaǫ:haˀ	cross-country meet
dęhadihnyoda:s	they (male) are having a tug o' war (a ceremony or healing ritual)
dehadihoˀdęhsragwęni:yoˀ	Employment Office
dęhadihsda:teˀt	they (male) will shine it 
dehadihsnye:gyeˀs	they (male) look after all
dehadihsta:teˀdahkwaˀ	wax for sticks; (literally: what they (male) use to shine)
dęhadi:hwage:nhaˀ	arbitration; they (male) will be arbitrators
dehadihwagenhas	they (male) are lawyers
dehadi:hwahkwaˀ	a choir; (literally: they (male) are gospel singers)
dehadijihgwaˀehs	they (male) punch it
dehadikęh	twin boys
dehadinęhęda:s	they (male) are guards; they are participants in a work-bee
dęˀhadinęhęˀda:s	working bee, barn raising
dehadinęhęda:s honadrihwahsehdǫh ohwęjaę:dǫ:nyǫˀ	intelligence agency, spy agency
dehadinęhę:hęˀ	they (male) are guards
dehadinętsa:kˀah	their (male) arm is short
dehadinę:tse:s	their (male) arm is long
dehadinętsu:ˀuh	they (male) have small arms
dehadiyadowehtaˀ	they (male) are fortune tellers, thinkers; they (male) tell fortunes
dehadiyahshe:	two males; they (male) are two)
dehadiyahsǫtaˀ	Catholics; (literally: they (male) cross themselves)
dehadiyaǫˀdahsnyehaˀgeh	a morgue; (literally: where they (male) take care of the cadaver)
dehadiyaǫˀdatręnyahnǫˀ	they (male) made an incision in a cadaver
dehadodai:shǫhs	he is combing his hair
dęhadodaisiˀ	he is going to comb his hair
deha:dum deho:dum	he is stupid
dehadwęnadęnyǫhs	he is reaching puberty; (literally: his voice is changing)
dehaˀęnaę:hęˀ	he is a snowsnake player
dehagahgwe:gǫh	he is blind
dehagǫhstwęˀo:t	he has a beard
dehaheyǫˀdahsnyehaˀ	he is a funeral director
dęhahgwadahnǫ:ˀ	he will raise or lift things up
dęhahsda:teˀt	he is going to shine it
dehahsęnaˀse:ˀ	his surname
dehahsgwaowanęˀs	he has big rocks (i.e. is well-endowed)
dehahsǫwahgyaˀs	He Breaks the Wires (Handsome Lake's nephew)
dehaihwaętwahs	he brings forth the message all the time
dehaihwagenhahs	he is a lawyer
dehaihwagenhasgo:wah	he is the Attorney General (literally: big lawmaker)
dehanahsgwe:s	he jumps far horizontally
dehanahsgwe:soˀs	he jumps high
dehanętsa:kˀah	his arm is short
dehanętse:s	his arm is long
dehanętsu:ˀuh	he has small arms
dehaˀnhǫhstǫ:t	his testicles; (literally: where the sperm is)
dehaˀnigǫha:haˀ	he is a nuisance, a bother
dehaˀnigǫhi:yo:	the Devil (literally: he is not of a good mind)
dehaˀswe:gǫh	he is deaf
dehatganyahs	he is desperate, desperately wanting something; in dire need; he will settle for just anyone (i.e. a mate)
dęhatganyahse:k	he will be desperate
dehatwaji:yǫ:nih	he is barren
dehawęnadenyeˀs	he is a translator
dehayadowehtaˀ	he is a fortune teller, seer, thinker
dehęˀdawę:nyeˀ	he is a shit-disturber
dehęgwis	Harvest Dance
dęhęhda:t	a candidate; (literally: he will run)
dęhehshǫnyaˀk	you will strangle him
dehęnada:gye:nahs	wrestlers; they (male) are wrestling 
dehęnadatgǫhe:s	boxers; they (male) are boxing
dehęnadeˀdragę:nyǫhs	archery; (literally: they (male) are competing)
dehęnadelagę:nyohs	they are doing nothing (slang) (literally: they are comparing penis sizes; partial loan word from Mohawk)
dehęnadǫhwihsdade:nyǫhs	a stock exchange; stock market; the Dow Jones; theTSE; etc.; (literally: where they (male) exchange money)
dehęnadoˀjinehtaˀ	they (male) are skating
dehęnadǫtsotaˀ	they (male) pray on their knees
dehenagya:dadǫhs	circus 
dehęnagya:dǫhs	circus; (literally: they (male) put up tents)
dehęnahdaędahkwaˀ	the game of horseshoes
dehęnahsgwahk	they (male) will jump
dehęnaǫ:haˀ	they (male) race; they are racing (right now)
dęhęna:t	they (male) will dance
dęhęnaˀtahahk	they (male) will walk
dehęnatahahkwaˀ gahnyǫˀǫhsraˀgeh	they (male) are ironworkers; (literally: they walk on the iron)
dęhęnatgęˀnyǫhs	a fair; (literally: they (male) compete there)
dehęnatgwahneˀ	they (male) are going to dance
dehęnatkwaˀ	they dance
dehęnatnǫyagę:nyeˀs	a pow wow; (literally: they (male) perform competition dancing)
dehęnaˀtwihsdagę:nyǫhs watgehǫˀ	an auction
dehęnędadawihs	trades, commerce, barter
dehęnˀęnaę:hęˀ	they (male) are snowsnake players
dęhęnęnigyohgwagę:niˀ	they (male) will have an election
dęhęnęnigyohgwahgę:niˀ	they (male) will have an election; they will have a voting to do
dehęnǫhwęjahsnyeˀ	land preservation; land conservation; (literally: they (male) look after the land)
dęhhoˀdęˀ węhniˀdadeˀ o:nęh	what month is it now?
dehkǫnyataˀ	dining hall
dęhne: naoˀjǫˀdodę:	what kind of fish is that?
dehoˀdai:ˀ	he got dirty (i.e. covered with manure)
dęhoˀdęˀ naˀa:węh	what happened?
dehodigahadi:yǫ:t	Orientals; (literally: their (male) eyes are stretched)
dehodi:hwaędaˀseh	coalition (literally: they come to one mind)
dehodi:hwahtsˀa:ˀ	they are earning, fulfilling it
dehodinęhę:ˀ	they (male) are guarding something (i.e. strikers); security guards
dehodinęhę:deˀ	they (male) are already guarding
dehodi:yęˀ	they (male) are gambling, betting
dehodi:yęˀ dehadiyęhdahkwaˀ	they (male) are playing a game (dominoes, scrabble, etc.)
deho:di:yǫ:t	he is stretching it
dehoˀdraihęhs	he is impatient; he is in a hurry
dehoˀdrǫ:daˀǫh	he has landed
dehohedahneˀ	he is going along hollering
dehohetaˀ	he is hollering
dehohgwadǫh	he is lifting it up
dehohsgyęnaˀgyagǫh	he is pale
dehohtgręgręhdǫh	he is frowning
dehoihwado:gę:	he is a traitor
dehoi:hwaneˀagǫh	he is sinless
dehojitsgri:	he has curly hair
dehonadetgwęhsayehsdǫh	Metis (literally: they have mixed blood)
dehonadetgwęhsayehsdǫh	Metis; (literally: they (male) have mixed blood)
dehonadraˀǫh	they (male) are meeting right now
dehonagao:t	the Devil (literally: he has horns)
dehonagyehsdǫh	they (male) form a corporation
dehonaǫ:gyeˀ	they (male) are racing along
dehonatgę:nyǫ:	they (male) compete
dehonatnǫˀa:nhęh	Indian from India (literally: they wear turbans)
dehonęhę:ˀ	he is a guard
dehonęhsoweksǫˀ	they (male) have their shoes on
dehoˀnigǫha:gǫ:t	he is set in his ways; his mind is set
dehoˀnigǫha:t	he is ignorant, unthinkingly foolish
dehonǫdanhęh	he is innocent
deho:nuts	he is crazy (slang)
dehotgahahęh	he has masked eyes
dehotganyęh	he is really desperate
dehotganyǫhsgǫ:	he is desperate
dehotgehi:	his hair is tangled
dehǫwadidenyeˀs	citizenship (literally: they (male) change them (male))
dehǫwadidenyeˀs tsęh nihonǫhwęjoˀdę:	citizenship (literally: they change their nation)
dehǫwadihstodahkwaˀ	handcuffs
dehowayęnheˀsgǫ:	he has difficulty learning
dehowę:sǫ:	he has the shoes on
dehoyaˀdahgwęh	it picked him up (bodily)
dęja:draˀ	you two will meet
dejagǫhwihsra:t	she no longer has breath; she's dead
deja:go:yǫ:	she did not return
dejaǫ:	both (of you two)
dęjatahahk	you two will walk
dęjetinǫhǫnyǫ:ˀ	we will thank them again
dęjidwadatnohǫnyǫ:ˀ	we all (inclusive) will greet each other again
dęjidwanǫhǫnyǫ:ˀ	we all (inclusive) will thank again
dęjidwa:t	we all (inclusive) will dance again
dejidwayę:di:	we all (inclusive) do not know any longer
dejonˀaˀgo:wahs	it has no spirit of life
dekdahs	I stopped something
dekdaˀs	I stop here (whenever...)
dękde:niˀ	I am going to change something
dekenǫhǫkwaˀ	she who I revere as…
dękenǫhǫnyǫˀ	I will greet her
deknętsa:kˀah degenętsa:kˀah	my arm is short
deknę:tse:s	my arm is long
dekni:	two
dekni: dewęˀnihsgaǫ:t	bicycle; it has two wheels
dekni: dewęˀnihsga:ǫt wadadeˀdreˀs	motorcycle
dekni: dewęˀnyˀawˀe:	two hundred
dekni: hadǫˀt	Tuesday (literally: the second day)
dekni: hadǫˀtgęhę:ˀ	Tuesday (past)
dekni hęwa:dra:s	twice
dekni: skaeˀ	twelve
